50 2450
1 2 42
2 3 18468
3 4 6335
4 5 26501
5 6 19170
6 7 15725
7 8 11479
8 9 29359
9 10 26963
10 11 24465
11 12 5706
12 13 28146
13 14 23282
14 15 16828
15 16 9962
16 17 492
17 18 2996
18 19 11943
19 20 4828
20 21 5437
21 22 32392
22 23 14605
23 24 3903
24 25 154
25 26 293
26 27 12383
27 28 17422
28 29 18717
29 30 19719
30 31 19896
31 32 5448
32 33 21727
33 34 14772
34 35 11539
35 36 1870
36 37 19913
37 38 25668
38 39 26300
39 40 17036
40 41 9895
41 42 28704
42 43 23812
43 44 31323
44 45 30334
45 46 17674
46 47 4665
47 48 15142
48 49 7712
49 50 28254
50 1 6869
48 45 32663
8 38 12860
24 42 27530
29 17 3036
41 43 289
7 41 8943
15 49 27447
6 41 6730
21 1 15007
2 44 3549
30 24 24085
5 7 11841
17 27 13932
9 45 32440
27 24 5538
39 19 2083
30 42 4834
16 40 29659
5 31 13978
7 24 22387
22 46 26925
23 21 5830
28 24 5098
13 37 13291
12 37 22356
18 6 15575
32 3 27351
1 42 21725
17 31 31108
42 8 11338
34 46 8910
10 9 24222
39 23 24947
7 31 16414
19 1 32592
13 6 17411
10 25 20538
49 34 27596
42 3 24351
42 37 9375
21 47 24022
35 32 4735
4 50 26419
39 1 3789
28 18 3729
44 49 22484
8 22 14311
18 14 9515
10 17 18936
2 1 5250
20 7 22799
4 25 11009
45 10 14990
3 46 20486
44 44 30524
38 15 9504
49 1 13459
19 31 19797
49 32 19590
49 10 27158
23 23 18539
43 39 24180
41 8 7959
42 16 22889
7 12 16203
35 23 20056
29 47 26363
37 26 28434
20 43 23845
17 32 31999
23 2 10022
50 8 28477
43 40 5076
13 1 2511
4 20 17862
39 2 9790
6 24 5003
36 33 10286
39 27 28618
8 33 30933
20 5 25722
40 27 31330
19 43 21426
6 35 16550
42 13 30146
11 19 3754
40 24 16280
47 38 12530
50 38 19867
50 44 23196
48 17 28287
6 39 16283
2 17 20672
37 14 4314
6 36 20054
13 9 1833
46 14 27757
22 9 23647
33 32 4145
47 23 7130
12 36 20451
24 17 12045
10 43 26440
11 46 20650
23 19 14019
38 6 17959
28 15 9315
25 35 25875
23 10 11834
21 38 28298
19 28 17774
21 14 2669
43 36 3103
31 14 7628
3 50 30528
26 44 1925
24 23 13062
32 4 27433
6 44 22726
32 43 143
23 37 13065
1 38 8361
14 25 14271
21 36 30834
12 11 18897
18 36 12551
41 45 2696
25 20 2126
27 45 22659
3 22 22467
29 44 23852
35 19 28465
20 3 2801
38 11 1927
11 8 32171
16 27 30228
44 9 7165
10 33 17087
16 38 29578
30 29 25424
21 3 14963
24 47 3738
12 46 32526
15 11 6203
12 22 6412
48 4 21521
41 25 30189
14 41 20852
13 30 30901
14 9 17579
16 8 11478
1 9 6440
4 11 19358
25 28 5109
14 38 19802
1 11 22429
44 35 19406
41 12 28705
36 7 6073
1 24 14486
7 17 1627
8 27 13358
38 22 23870
12 47 13023
18 13 12718
47 36 24042
24 30 24230
16 10 8933
47 6 12054
13 35 29735
5 23 21458
20 33 2964
8 34 912
36 18 22849
26 39 2224
43 5 6512
42 26 21460
26 22 17871
27 35 15206
34 1 17399
30 2 12194
35 38 26535
7 44 10177
6 13 10549
32 1 14414
42 6 24856
43 13 27612
28 25 32679
3 44 28297
24 41 9314
26 23 12819
11 18 14933
13 46 13170
32 41 26489
36 41 19498
4 15 18652
36 10 11193
6 15 12182
4 30 23776
9 43 5998
50 7 25562
30 41 27814
25 2 6078
16 34 8214
43 25 5602
43 10 2671
29 28 4085
26 37 15499
5 4 21222
14 7 2364
11 22 27490
41 15 25543
20 14 7592
5 19 9233
1 6 4976
40 4 11423
49 48 13585
49 22 17865
14 26 21546
13 47 18679
20 13 8520
36 40 15945
16 41 23246
9 19 27871
2 24 21133
23 3 25088
4 24 3528
1 20 14016
16 29 21544
48 39 2944
38 10 26464
50 32 1589
43 9 32061
39 47 691
21 49 27068
37 34 18036
27 36 7039
49 24 3360
8 17 4945
6 19 32727
12 26 20356
2 50 9497
35 16 17965
43 26 17914
43 47 21949
23 27 14607
6 27 29813
37 37 29142
15 45 8257
3 37 30839
33 6 21016
32 31 17842
26 12 32638
37 41 1651
4 17 13453
9 13 22234
4 7 149
25 18 4214
10 29 29201
31 19 16859
15 4 3677
44 10 14903
12 40 24949
33 4 30675
32 20 3879
22 4 21946
32 5 12393
36 14 6699
40 23 5939
35 9 9962
10 44 1516
20 38 28870
9 1 13972
15 18 16216
6 16 18331
40 13 29289
33 5 16086
11 35 24775
31 16 25952
11 49 23074
39 28 18133
7 40 26114
9 42 15791
24 14 29
35 29 7201
22 36 21975
22 34 22868
4 46 32169
1 49 3310
44 37 30081
17 50 26668
22 6 8827
17 17 27727
17 38 27682
15 41 5687
22 13 14722
15 10 20416
3 24 17125
42 46 31763
24 32 4807
19 19 5603
8 8 23482
47 3 1055
46 9 249
15 40 7959
23 5 6996
3 20 7480
39 24 27919
17 10 32499
