10 90
1 2 42
2 3 18468
3 4 6335
4 5 26501
5 6 19170
6 7 15725
7 8 11479
8 9 29359
9 10 26963
10 1 24465
6 6 23282
8 2 492
6 3 4828
7 2 14605
3 2 18717
9 6 5448
10 3 25668
10 6 9895
4 2 31323
4 4 4665
2 2 28254
9 8 27645
3 8 20038
10 4 9742
10 9 12317
6 1 1843
9 7 9041
3 5 22649
7 6 15891
5 5 18757
1 7 7377
2 9 16945
10 7 11324
3 10 16542
4 6 4640
9 5 9931
8 7 31674
5 3 6271
10 8 15574
8 3 23987
6 8 23656
5 2 12053
1 1 16942
5 7 3431
8 8 12288
10 10 9759
7 7 13031
4 9 901
1 10 27625
6 2 3603
5 1 4597
5 4 2000
9 9 6901
9 4 24649
4 8 2422
1 8 22814
5 10 7617
6 4 14344
7 9 15282
9 3 6039
9 2 19816
6 9 22647
3 7 18876
4 10 20143
2 10 3558
7 3 24390
1 4 26870
3 6 24183
10 2 9513
7 10 194
2 7 12264
4 3 10809
4 1 7488
3 1 29214
8 6 1544
3 3 31287
6 5 28020
2 5 1019
7 1 4758
1 6 9577
8 4 22759
8 5 2626
8 10 31929
2 8 21154
8 1 26059
2 1 14461
2 4 24130
2 6 10068
7 4 10041
9 1 1018
