100 6325
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
9 10 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
19 20 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
29 30 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
39 40 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
49 50 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
59 60 1
60 61 1
61 62 1
62 63 1
63 64 1
64 65 1
65 66 1
66 67 1
67 68 1
68 69 1
69 70 1
70 71 1
71 72 1
72 73 1
73 74 1
74 75 1
75 76 1
76 77 1
77 78 1
78 79 1
79 80 1
80 81 1
81 82 1
82 83 1
83 84 1
84 85 1
85 86 1
86 87 1
87 88 1
88 89 1
89 90 1
90 91 1
91 92 1
92 93 1
93 94 1
94 95 1
95 96 1
96 97 1
97 98 1
98 99 1
99 100 1
42 68 -3666
68 42 -3666
1 70 5724
70 1 5724
79 59 16962
59 79 16962
65 6 18145
6 65 18145
82 28 -39
28 82 -39
92 96 1942
96 92 1942
28 37 22391
37 28 22391
5 3 -9847
3 5 -9847
93 83 7421
83 93 7421
17 19 9895
19 17 9895
48 27 4771
27 48 4771
39 70 9912
70 39 9912
68 100 7035
100 68 7035
95 4 13811
4 95 13811
23 34 7673
34 23 7673
65 42 -2289
42 65 -2289
54 69 15547
69 54 15547
45 63 22757
63 45 22757
38 60 -1277
60 38 -1277
42 30 -9222
30 42 -9222
17 36 12190
36 17 12190
43 89 20106
89 43 20106
41 43 9264
43 41 9264
49 47 13805
47 49 13805
91 30 14370
30 91 14370
51 7 21101
7 51 21101
94 49 9629
49 94 9629
24 85 9954
85 24 9954
57 41 -5034
41 57 -5034
77 32 16308
32 77 16308
45 40 14626
40 45 14626
24 38 11538
38 24 11538
19 83 12929
83 19 12929
42 34 21115
34 42 21115
40 59 12704
59 40 12704
31 78 -7694
78 31 -7694
74 87 -4979
87 74 -4979
46 25 9072
25 46 9072
71 30 16777
30 71 16777
74 98 6512
98 74 6512
87 91 -839
91 87 -839
37 56 14767
56 37 14767
56 75 -5969
75 56 -5969
53 51 -8850
51 53 -8850
42 25 3966
25 42 3966
31 8 20191
8 31 20191
8 38 5457
38 8 5457
88 54 383
54 88 383
46 10 22209
10 46 22209
59 22 8588
22 59 8588
23 47 17506
47 23 17506
31 14 19168
14 31 19168
1 92 8762
92 1 8762
56 11 -3641
11 56 -3641
25 38 11548
38 25 11548
84 96 -5959
96 84 -5959
3 51 291
51 3 291
37 75 1020
75 37 1020
97 22 17348
22 97 17348
100 69 14484
69 100 14484
82 35 -9947
35 82 -9947
100 19 17938
19 100 17938
1 89 8127
89 1 8127
68 29 4893
29 68 4893
49 84 7807
84 49 7807
22 11 -3383
11 22 -3383
14 15 4309
15 14 4309
52 1 -4751
1 52 -4751
20 57 12798
57 20 12798
4 25 1008
25 4 1008
45 10 4989
10 45 4989
3 96 10485
96 3 10485
94 44 20523
44 94 20523
88 15 -497
15 88 -497
49 1 3458
1 49 3458
19 81 9796
81 19 9796
99 82 9589
82 99 9589
99 10 17157
10 99 17157
73 23 8538
23 73 8538
93 39 14179
39 93 14179
91 58 -2042
58 91 -2042
92 16 12888
16 92 12888
57 12 6202
12 57 6202
35 73 10055
73 35 10055
29 47 16362
47 29 16362
87 76 18433
76 87 18433
70 43 13844
43 70 13844
17 82 21998
82 17 21998
23 52 21
52 23 21
100 58 18476
58 100 18476
93 90 -4925
90 93 -4925
13 1 -7490
1 13 -7490
4 70 7861
70 4 7861
89 2 -211
2 89 -211
56 24 -4998
24 56 -4998
86 83 285
83 86 285
89 27 18617
27 89 18617
58 33 20932
33 58 20932
70 55 15721
55 70 15721
90 77 21329
77 90 21329
69 93 11425
93 69 11425
56 35 6549
35 56 6549
42 13 20145
13 42 20145
61 19 -6247
19 61 -6247
40 24 6279
24 40 6279
97 88 2529
88 97 2529
50 38 9866
38 50 9866
50 94 13195
94 50 13195
98 17 18286
17 98 18286
6 89 6282
89 6 6282
15 2 21316
2 15 21316
72 87 2263
87 72 2263
14 56 21185
56 14 21185
54 13 808
13 54 808
33 46 -5687
46 33 -5687
57 22 9558
22 57 9558
47 83 -9519
83 47 -9519
45 97 10222
97 45 10222
30 62 -4465
62 30 -4465
51 74 466
74 51 466
45 60 16292
60 45 16292
40 54 10024
54 40 10024
55 11 -5255
11 55 -5255
50 87 -1687
87 50 -1687
75 23 -7832
23 75 -7832
19 88 -95
88 19 -95
59 92 202
92 59 202
26 78 -5586
78 26 -5586
15 25 19334
25 15 19334
75 73 10159
73 75 10159
34 71 -2513
71 34 -2513
98 19 -1823
19 98 -1823
74 71 -8237
71 74 -8237
86 3 -1520
3 86 -1520
14 28 -5198
28 14 -5198
100 28 -7375
28 100 -7375
44 25 1023
25 44 1023
73 62 4181
62 73 4181
4 33 7505
33 4 7505
94 26 3031
26 94 3031
93 43 7222
43 93 7222
87 65 -2100
65 87 -2100
88 61 12413
61 88 12413
75 71 19170
71 75 19170
36 34 9711
34 36 9711
61 97 -5333
97 61 -5333
86 51 -9860
51 86 -9860
95 96 11624
96 95 11624
20 26 16576
26 20 16576
95 59 16302
59 95 16302
72 67 -5322
67 72 -5322
94 52 15484
52 94 15484
19 65 11119
65 19 11119
53 1 8087
1 53 8087
61 27 -990
27 61 -990
58 71 10315
71 58 10315
77 28 2043
28 77 2043
59 65 -4891
65 59 -4891
83 87 19565
87 83 19565
88 78 4474
78 88 4474
26 28 -4371
28 26 -4371
29 24 18520
24 29 18520
3 63 -9877
63 3 -9877
97 38 3261
38 97 3261
96 26 -8736
26 96 -8736
61 3 -1884
3 61 -1884
31 27 19011
27 31 19011
72 12 15547
12 72 15547
54 21 19790
21 54 19790
25 89 11763
89 25 11763
41 52 8662
52 41 8662
30 1 7713
1 30 7713
66 8 1477
8 66 1477
1 59 -3561
59 1 -3561
4 61 9357
61 4 9357
25 78 -4892
78 25 -4892
14 88 9801
88 14 9801
51 61 12428
61 51 12428
94 85 9405
85 94 9405
41 12 18704
12 41 18704
36 57 -3928
57 36 -3928
51 24 4485
24 51 4485
57 17 -8374
17 57 -8374
58 27 3357
27 58 3357
38 72 13869
72 38 13869
62 97 3022
97 62 3022
18 13 2717
13 18 2717
97 86 14041
86 97 14041
24 30 14229
30 24 14229
66 60 -1068
60 66 -1068
97 56 2053
56 97 2053
63 85 19734
85 63 19734
55 73 11457
73 55 11457
70 33 -7037
33 70 -7037
8 84 -9089
84 8 -9089
36 68 12848
68 36 12848
76 39 -7777
39 76 -7777
43 55 -3489
55 43 -3489
42 76 11459
76 42 11459
26 22 7870
22 26 7870
27 35 5205
35 27 5205
84 51 7398
51 84 7398
80 2 2193
2 80 2193
35 38 16534
38 35 16534
57 94 176
94 57 176
6 63 548
63 6 548
82 1 4413
1 82 4413
42 56 14855
56 42 14855
43 63 17611
63 43 17611
79 53 8443
53 79 8443
97 74 40
74 97 40
14 76 10072
76 14 10072
19 11 -8983
11 19 -8983
33 13 20695
13 33 20695
70 32 10040
32 70 10040
89 86 9090
86 89 9090
98 90 15990
90 98 15990
46 54 9314
54 46 9314
45 59 -9665
59 45 -9665
60 93 -2395
93 60 -2395
65 82 18503
82 65 18503
30 76 10608
76 30 10608
93 98 7549
98 93 7549
57 62 21627
62 57 21627
30 41 17813
41 30 17813
75 2 -3923
2 75 -3923
16 84 -1787
84 16 -1787
93 25 -4399
25 93 -4399
71 29 18027
29 71 18027
85 76 8786
76 85 8786
99 71 -3713
71 99 -3713
48 5 -9497
5 48 -9497
22 64 -4294
64 22 -4294
64 11 12171
11 64 12171
90 41 2164
41 90 2164
43 20 10913
20 43 10913
92 5 21818
5 92 21818
33 51 15205
51 33 15205
76 40 -9697
40 76 -9697
23 99 1247
99 23 1247
85 49 -7029
49 85 -7029
65 14 1075
14 65 1075
46 13 7546
13 46 7546
79 70 5262
70 79 5262
20 86 18289
86 20 18289
45 66 8540
66 45 8540
46 9 18318
9 46 18318
71 2 18323
2 71 18323
33 73 17152
73 33 17152
88 71 19763
71 88 19763
2 4 4423
4 2 4423
28 1 16969
1 28 16969
16 66 -9972
66 16 -9972
44 48 -7912
48 44 -7912
44 38 12409
38 44 12409
64 50 -5319
50 64 -5319
9 61 11221
61 9 11221
59 55 10888
55 59 10888
47 91 -2051
91 47 -2051
44 31 15620
31 44 15620
49 68 -5464
68 49 -5464
84 36 22226
36 84 22226
86 39 -147
39 86 -147
30 25 5748
25 30 5748
24 60 22257
60 24 22257
67 45 4955
45 67 4955
19 27 15411
27 19 15411
26 56 21001
56 26 21001
50 97 8584
97 50 8584
16 65 13342
65 16 13342
43 97 11948
97 43 11948
73 27 4606
27 73 4606
74 30 22404
30 74 22404
6 27 19812
27 6 19812
76 94 6565
94 76 6565
37 37 19141
37 37 19141
15 95 -1744
95 15 -1744
53 37 20838
37 53 20838
83 56 11015
56 83 11015
32 31 7841
31 32 7841
26 12 22637
12 26 22637
51 63 11634
63 51 11634
94 54 11416
54 94 11416
53 9 -2738
9 53 -2738
34 55 6303
55 34 6303
35 4 4256
4 35 4256
49 25 2317
25 49 2317
14 10 14028
10 14 14028
1 81 11318
81 1 11318
59 51 14155
51 59 14155
62 65 1903
65 62 1903
77 44 16909
44 77 16909
3 62 18489
62 3 18489
49 83 3653
83 49 3653
75 21 -4598
21 75 -4598
24 32 9369
32 24 9369
79 60 9008
60 79 9008
20 72 20003
72 20 20003
46 82 16504
82 46 16504
93 86 15313
86 93 15313
99 90 2722
90 99 2722
39 38 -3590
38 39 -3590
62 35 2508
35 62 2508
62 60 -3507
60 62 -3507
16 70 14937
70 16 14937
70 59 4700
59 70 4700
72 65 5117
65 72 5117
16 56 -2185
56 16 -2185
31 40 20212
40 31 20212
89 83 -8046
83 89 -8046
86 11 14484
11 86 14484
75 81 19815
81 75 19815
52 42 8115
42 52 8115
80 11 15898
11 80 15898
74 89 13977
89 74 13977
33 57 18689
57 33 18689
14 9 2941
9 14 2941
91 24 11363
24 91 11363
29 85 14778
85 29 14778
1 72 -8115
72 1 -8115
75 72 1333
72 75 1333
68 54 4295
54 68 4295
69 26 -324
26 69 -324
30 51 -7402
51 30 -7402
10 94 -5314
94 10 -5314
81 17 2249
17 81 2249
80 65 19421
65 80 19421
